Category,Item,Serving Size,Calories,Calories from fat,TotalFat,Saturated Fat(g),Trans fat(g),Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Total Sugar(g),Protein(g)
Desserts,White Chocolate Macadamia Nut Cookies (2),76,340,160,18,8,0,20,240,44,0,28,4
Desserts,Oatmeal Raisin Cookies (2),76,310,120,13,8,0,20,260,46,3,26,4
,,,,,,,,,,,,,
Additional Options (some options are only available regionally),American Cheese (slice),11,40,30,3.5,2,0,10,180,1,0,0,2
Additional Options (some options are only available regionally),Ketchup (Packet),10,10,0,0,0,0,0,125,3,0,2,0
Additional Options (some options are only available regionally),Mayonnaise (Packet),12,80,80,9,0.5,0,10,75,1,0,0,0
Additional Options (some options are only available regionally),Strawberry or Grape Jam (packet),12,30,0,0,0,0,0,0,7,0,6,0
Additional Options (some options are only available regionally),Breakfast Syrup (1 oz),41,120,0,0,0,0,0,15,30,0,18,0
Additional Options (some options are only available regionally),Barbecue Dipping Sauce (1 oz),28,40,0,0,0,0,0,310,11,0,10,0
Additional Options (some options are only available regionally),Ranch Dipping Sauce (1 oz),28,140,140,15,2.5,0,10,230,1,0,1,1
Additional Options (some options are only available regionally),Buffalo Dipping Sauce (1 oz),28,80,70,8,1.5,0,5,360,2,0,1,0
Additional Options (some options are only available regionally),Chicken Fry Dipping Sauce (1 oz),28,140,120,13,2,0,10,180,6,0,5,0
Additional Options (some options are only available regionally),Zesty Onion Ring Dipping Sauce (1 oz),28,150,140,15,2.5,0,20,240,3,0,1,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Smoothies & Shakes,Fat FREE Milk (8 fl oz),,90,0,0,0,0,5,125,13,0,12,9
Smoothies & Shakes,1% Low Fat Chocolate Milk (8 fl oz),,160,25,2.5,1.5,0,15,150,26,0,25,8
Smoothies & Shakes,Smoothie: Strawberry Banana 16 fl oz,,310,10,1,0,0,0,55,71,3,50,4
Smoothies & Shakes,Smoothie: Tropical Mango- 16 fl oz,,370,5,0,0,0,0,70,86,2,56,5
Smoothies & Shakes,Oreo® Shake,,730,190,21,11,0,60,550,121,1,100,15
Smoothies & Shakes,Chocolate Oreo® Shake,,610,170,19,12,0,55,560,99,1,81,13
Smoothies & Shakes,FROOT LOOPS® Shake,,720,160,17,11,0.5,65,560,126,2,103,16
Smoothies & Shakes,Vanilla Milk Shake,,580,140,15,10,0,60,420,98,0,85,14
Smoothies & Shakes,Chocolate Milk Shake,,610,140,16,10,0,60,500,103,1,88,14
Smoothies & Shakes,Strawberry Milk Shake,,640,140,15,10,0,60,440,113,0,99,14
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Beverages,Coca Cola classic®‡,16 fl oz,210,0,0,0,0,0,50,58,0,58,0
Beverages,Coca Cola classic®‡,20 fl oz,270,0,0,0,0,0,60,73,0,73,0
Beverages,Coca Cola classic®‡,29 fl oz,390,0,0,0,0,0,85,105,0,105,0
Beverages,Coca Cola classic®‡,38 fl oz,510,0,0,0,0,0,115,138,0,138,0
Beverages,Diet Coke®‡,16 fl oz,0,0,0,0,0,0,70,0,0,0,0
Beverages,Diet Coke®‡,20 fl oz,0,0,0,0,0,0,85,<1,0,0,0
Beverages,Diet Coke®‡,29 fl oz,0,0,0,0,0,0,120,<1,0,0,0
Beverages,Diet Coke®‡,38 fl oz,0,0,0,0,0,0,160,1,0,0,0
Beverages,Sprite®‡,16 fl oz,210,0,0,0,0,0,95,56,0,56,0
Beverages,Sprite®‡,20 fl oz,260,0,0,0,0,0,120,70,0,70,0
Beverages,Sprite®‡,29 fl oz,380,0,0,0,0,0,170,102,0,102,0
Beverages,Sprite®‡,38 fl oz,500,0,0,0,0,0,230,133,0,133,0
Beverages,Dr. Pepper®‡,16 fl oz,190,0,0,0,0,0,60,52,0,51,0
Beverages,Dr. Pepper®‡,20 fl oz,240,0,0,0,0,0,75,65,0,64,0
Beverages,Dr. Pepper®‡,29 fl oz,350,0,0,0,0,0,105,94,0,93,0
Beverages,Dr. Pepper®‡,38 fl oz,450,0,0,0,0,0,140,124,0,121,0
Beverages,Barq’s Root Beer,16 fl oz,240,0,0,0,0,0,100,65,0,65,0
Beverages,Barq’s Root Beer,20 fl oz,300,0,0,0,0,0,120,81,0,81,0
Beverages,Barq’s Root Beer,29 fl oz,430,0,0,0,0,0,180,118,0,118,0
Beverages,Barq’s Root Beer,38 fl oz,570,0,0,0,0,0,230,155,0,155,0
Beverages,Cherry Coke,16 fl oz,220,0,0,0,0,0,55,61,0,61,0
Beverages,Cherry Coke,20 fl oz,280,0,0,0,0,0,70,76,0,76,0
Beverages,Cherry Coke,29 fl oz,410,0,0,0,0,0,100,110,0,110,0
Beverages,Cherry Coke,38 fl oz,530,0,0,0,0,0,130,145,0,145,0
